Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[999.05457063],[999.0571226],[999.05748597],[999.05784934],[999.0582127],[999.05857607]
[999.17768162],[999.17821393],[999.17892599],[999.17963804],[999.1803501],[999.18106216]
[999.52021237],[999.51984139],[999.51984361],[999.51984584],[999.51984806],[999.51985029]
[999.53827642],[999.5384175],[999.5384139],[999.5384103],[999.53840671],[999.53840311]
[999.30300706],[999.30299152],[999.30299178],[999.30299203],[999.30299229],[999.30299254]
[999.33539806],[999.33551555],[999.33551242],[999.33550929],[999.33550616],[999.33550303]
[999.28191751],[999.28145287],[999.28145102],[999.28144917],[999.28144733],[999.28144548]
[999.53627502],[999.53631147],[999.53631166],[999.53631185],[999.53631204],[999.53631223]
[999.37027836],[999.36996242],[999.36995876],[999.36995511],[999.36995145],[999.36994779]
[999.48636545],[999.48653936],[999.48653108],[999.48652281],[999.48651454],[999.48650626]
[999.2812014],[999.28099647],[999.28099281],[999.28098916],[999.28098551],[999.28098185]
[999.43151476],[999.43184166],[999.43184187],[999.43184209],[999.4318423],[999.43184252]
[999.1982577],[999.19838273],[999.19836701],[999.1983513],[999.19833559],[999.19831988]
[999.23021588],[999.23001315],[999.22999143],[999.2299697],[999.22994798],[999.22992626]
[999.38984344],[999.38979157],[999.38978113],[999.38977068],[999.38976024],[999.38974979]
[999.36807594],[999.36813296],[999.36811585],[999.36809875],[999.36808165],[999.36806455]
[999.29394452],[999.29416322],[999.2941473],[999.29413139],[999.29411548],[999.29409957]
[999.20071597],[999.20076585],[999.20075579],[999.20074572],[999.20073565],[999.20072559]
[999.26871764],[999.26890018],[999.26889458],[999.26888898],[999.26888338],[999.26887779]
[999.22764397],[999.22746726],[999.22745876],[999.22745027],[999.22744177],[999.22743328]
[999.37895045],[999.37892932],[999.37891324],[999.37889716],[999.37888108],[999.37886499]
[999.32158889],[999.32150308],[999.32149647],[999.32148986],[999.32148326],[999.32147665]
[999.35800691],[999.35806914],[999.35805159],[999.35803403],[999.35801647],[999.35799892]
[999.27207785],[999.27195774],[999.27194402],[999.27193029],[999.27191657],[999.27190285]
[999.3540663],[999.35403815],[999.35403011],[999.35402207],[999.35401403],[999.35400599]
[999.33482587],[999.33472039],[999.3347074],[999.33469441],[999.33468142],[999.33466844]
[999.36353749],[999.36354867],[999.36354271],[999.36353675],[999.3635308],[999.36352484]
[999.32133121],[999.32152519],[999.32151506],[999.32150492],[999.32149479],[999.32148465]
[999.20802292],[999.20781869],[999.2078179],[999.20781711],[999.20781632],[999.20781553]
[999.39940853],[999.39937526],[999.39937426],[999.39937325],[999.39937225],[999.39937124]
[999.35908617],[999.35889033],[999.35888813],[999.35888593],[999.35888373],[999.35888153]
[999.42718],[999.42759293],[999.42759197],[999.42759101],[999.42759004],[999.42758908]
[999.1381438],[999.13793921],[999.13793979],[999.13794037],[999.13794095],[999.13794154]
[999.39241176],[999.39241697],[999.39241404],[999.39241112],[999.39240819],[999.39240526]
[999.33812591],[999.3383239],[999.33831577],[999.33830764],[999.33829951],[999.33829138]
[999.20966589],[999.20951592],[999.20951581],[999.2095157],[999.20951559],[999.20951548]
[999.3757517],[999.37569288],[999.37568849],[999.37568411],[999.37567973],[999.37567535]
[999.35915609],[999.35913915],[999.35913896],[999.35913877],[999.35913858],[999.35913839]
[999.3385393],[999.33866795],[999.3386613],[999.33865464],[999.33864798],[999.33864132]
[999.25575522],[999.25584975],[999.25584942],[999.2558491],[999.25584878],[999.25584846]
[999.26524274],[999.26538006],[999.26537849],[999.26537692],[999.26537534],[999.26537377]
[999.24457479],[999.24450995],[999.24450777],[999.24450559],[999.24450341],[999.24450123]
[999.32856838],[999.32840764],[999.32840658],[999.32840552],[999.32840447],[999.32840341]
[999.39319123],[999.39330887],[999.3933072],[999.39330553],[999.39330386],[999.39330219]
