Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
[999.05457063],[999.0571226],[999.05748597],[999.05784934],[999.0582127],[999.05857607],[999.05893944],[999.05930281],[999.05966618],[999.06002954],[999.06039291],[999.06075628],[999.06111965],[999.06148302],[999.06184639],[999.06220975],[999.06257312],[999.06293649],[999.06329986],[999.06366323],[999.0640266],[999.06438997],[999.06475334],[999.06511671],[999.06548008],[999.06584345],[999.06620682],[999.06657019],[999.06693356],[999.06729693],[999.0676603],[999.06802367],[999.06838705],[999.06875042],[999.06911379],[999.06947716],[999.06984053],[999.0702039],[999.07056728],[999.07093065],[999.07129402],[999.07165739],[999.07202076],[999.07238414],[999.07274751],[999.07311088],[999.07347426],[999.07383763],[999.074201],[999.07456437],[999.07492775],[999.07529112],[999.0756545],[999.07601787],[999.07638124],[999.07674462],[999.07710799],[999.07747137],[999.07783474],[999.07819812]
[999.17768162],[999.17821393],[999.17892599],[999.17963804],[999.1803501],[999.18106216],[999.18177422],[999.18248628],[999.18319834],[999.1839104],[999.18462246],[999.18533452],[999.18604659],[999.18675865],[999.18747071],[999.18818277],[999.18889484],[999.1896069],[999.19031897],[999.19103104],[999.1917431],[999.19245517],[999.19316724],[999.1938793],[999.19459137],[999.19530344],[999.19601551],[999.19672758],[999.19743965],[999.19815172],[999.19886379],[999.19957586],[999.20028794],[999.20100001],[999.20171208],[999.20242416],[999.20313623],[999.20384831],[999.20456038],[999.20527246],[999.20598453],[999.20669661],[999.20740869],[999.20812077],[999.20883285],[999.20954492],[999.210257],[999.21096908],[999.21168116],[999.21239325],[999.21310533],[999.21381741],[999.21452949],[999.21524158],[999.21595366],[999.21666574],[999.21737783],[999.21808991],[999.218802],[999.21951408]
[999.52021237],[999.51984139],[999.51984361],[999.51984584],[999.51984806],[999.51985029],[999.51985251],[999.51985473],[999.51985696],[999.51985918],[999.51986141],[999.51986363],[999.51986586],[999.51986808],[999.51987031],[999.51987253],[999.51987476],[999.51987698],[999.51987921],[999.51988143],[999.51988365],[999.51988588],[999.5198881],[999.51989033],[999.51989255],[999.51989478],[999.519897],[999.51989923],[999.51990145],[999.51990368],[999.5199059],[999.51990813],[999.51991035],[999.51991258],[999.5199148],[999.51991702],[999.51991925],[999.51992147],[999.5199237],[999.51992592],[999.51992815],[999.51993037],[999.5199326],[999.51993482],[999.51993705],[999.51993927],[999.5199415],[999.51994372],[999.51994594],[999.51994817],[999.51995039],[999.51995262],[999.51995484],[999.51995707],[999.51995929],[999.51996152],[999.51996374],[999.51996597],[999.51996819],[999.51997042]
[999.53827642],[999.5384175],[999.5384139],[999.5384103],[999.53840671],[999.53840311],[999.53839951],[999.53839591],[999.53839231],[999.53838871],[999.53838511],[999.53838151],[999.53837791],[999.53837431],[999.53837071],[999.53836711],[999.53836351],[999.53835991],[999.53835631],[999.53835271],[999.53834912],[999.53834552],[999.53834192],[999.53833832],[999.53833472],[999.53833112],[999.53832752],[999.53832392],[999.53832032],[999.53831672],[999.53831312],[999.53830952],[999.53830592],[999.53830232],[999.53829872],[999.53829512],[999.53829152],[999.53828793],[999.53828433],[999.53828073],[999.53827713],[999.53827353],[999.53826993],[999.53826633],[999.53826273],[999.53825913],[999.53825553],[999.53825193],[999.53824833],[999.53824473],[999.53824113],[999.53823753],[999.53823393],[999.53823034],[999.53822674],[999.53822314],[999.53821954],[999.53821594],[999.53821234],[999.53820874]
[999.30300706],[999.30299152],[999.30299178],[999.30299203],[999.30299229],[999.30299254],[999.30299279],[999.30299305],[999.3029933],[999.30299356],[999.30299381],[999.30299406],[999.30299432],[999.30299457],[999.30299483],[999.30299508],[999.30299533],[999.30299559],[999.30299584],[999.3029961],[999.30299635],[999.30299661],[999.30299686],[999.30299711],[999.30299737],[999.30299762],[999.30299788],[999.30299813],[999.30299838],[999.30299864],[999.30299889],[999.30299915],[999.3029994],[999.30299965],[999.30299991],[999.30300016],[999.30300042],[999.30300067],[999.30300092],[999.30300118],[999.30300143],[999.30300169],[999.30300194],[999.30300219],[999.30300245],[999.3030027],[999.30300296],[999.30300321],[999.30300346],[999.30300372],[999.30300397],[999.30300423],[999.30300448],[999.30300473],[999.30300499],[999.30300524],[999.3030055],[999.30300575],[999.303006],[999.30300626]
[999.33539806],[999.33551555],[999.33551242],[999.33550929],[999.33550616],[999.33550303],[999.3354999],[999.33549677],[999.33549364],[999.33549051],[999.33548738],[999.33548425],[999.33548112],[999.33547799],[999.33547486],[999.33547173],[999.3354686],[999.33546547],[999.33546234],[999.33545921],[999.33545607],[999.33545294],[999.33544981],[999.33544668],[999.33544355],[999.33544042],[999.33543729],[999.33543416],[999.33543103],[999.3354279],[999.33542477],[999.33542164],[999.33541851],[999.33541538],[999.33541225],[999.33540912],[999.33540599],[999.33540286],[999.33539973],[999.3353966],[999.33539347],[999.33539033],[999.3353872],[999.33538407],[999.33538094],[999.33537781],[999.33537468],[999.33537155],[999.33536842],[999.33536529],[999.33536216],[999.33535903],[999.3353559],[999.33535277],[999.33534964],[999.33534651],[999.33534338],[999.33534025],[999.33533712],[999.33533399]
[999.28191751],[999.28145287],[999.28145102],[999.28144917],[999.28144733],[999.28144548],[999.28144364],[999.28144179],[999.28143994],[999.2814381],[999.28143625],[999.28143441],[999.28143256],[999.28143072],[999.28142887],[999.28142702],[999.28142518],[999.28142333],[999.28142149],[999.28141964],[999.28141779],[999.28141595],[999.2814141],[999.28141226],[999.28141041],[999.28140856],[999.28140672],[999.28140487],[999.28140303],[999.28140118],[999.28139933],[999.28139749],[999.28139564],[999.2813938],[999.28139195],[999.2813901],[999.28138826],[999.28138641],[999.28138457],[999.28138272],[999.28138087],[999.28137903],[999.28137718],[999.28137534],[999.28137349],[999.28137165],[999.2813698],[999.28136795],[999.28136611],[999.28136426],[999.28136242],[999.28136057],[999.28135872],[999.28135688],[999.28135503],[999.28135319],[999.28135134],[999.28134949],[999.28134765],[999.2813458]
[999.53627502],[999.53631147],[999.53631166],[999.53631185],[999.53631204],[999.53631223],[999.53631242],[999.53631261],[999.5363128],[999.53631299],[999.53631318],[999.53631337],[999.53631356],[999.53631374],[999.53631393],[999.53631412],[999.53631431],[999.5363145],[999.53631469],[999.53631488],[999.53631507],[999.53631526],[999.53631545],[999.53631564],[999.53631583],[999.53631602],[999.53631621],[999.5363164],[999.53631659],[999.53631678],[999.53631697],[999.53631716],[999.53631735],[999.53631754],[999.53631772],[999.53631791],[999.5363181],[999.53631829],[999.53631848],[999.53631867],[999.53631886],[999.53631905],[999.53631924],[999.53631943],[999.53631962],[999.53631981],[999.53632],[999.53632019],[999.53632038],[999.53632057],[999.53632076],[999.53632095],[999.53632114],[999.53632133],[999.53632152],[999.5363217],[999.53632189],[999.53632208],[999.53632227],[999.53632246]
[999.37027836],[999.36996242],[999.36995876],[999.36995511],[999.36995145],[999.36994779],[999.36994413],[999.36994047],[999.36993682],[999.36993316],[999.3699295],[999.36992584],[999.36992218],[999.36991852],[999.36991487],[999.36991121],[999.36990755],[999.36990389],[999.36990023],[999.36989657],[999.36989292],[999.36988926],[999.3698856],[999.36988194],[999.36987828],[999.36987463],[999.36987097],[999.36986731],[999.36986365],[999.36985999],[999.36985633],[999.36985268],[999.36984902],[999.36984536],[999.3698417],[999.36983804],[999.36983438],[999.36983073],[999.36982707],[999.36982341],[999.36981975],[999.36981609],[999.36981243],[999.36980878],[999.36980512],[999.36980146],[999.3697978],[999.36979414],[999.36979049],[999.36978683],[999.36978317],[999.36977951],[999.36977585],[999.36977219],[999.36976854],[999.36976488],[999.36976122],[999.36975756],[999.3697539],[999.36975024]
[999.48636545],[999.48653936],[999.48653108],[999.48652281],[999.48651454],[999.48650626],[999.48649799],[999.48648972],[999.48648144],[999.48647317],[999.48646489],[999.48645662],[999.48644835],[999.48644007],[999.4864318],[999.48642352],[999.48641525],[999.48640698],[999.4863987],[999.48639043],[999.48638215],[999.48637388],[999.48636561],[999.48635733],[999.48634906],[999.48634078],[999.48633251],[999.48632424],[999.48631596],[999.48630769],[999.48629941],[999.48629114],[999.48628287],[999.48627459],[999.48626632],[999.48625804],[999.48624977],[999.4862415],[999.48623322],[999.48622495],[999.48621668],[999.4862084],[999.48620013],[999.48619185],[999.48618358],[999.48617531],[999.48616703],[999.48615876],[999.48615048],[999.48614221],[999.48613394],[999.48612566],[999.48611739],[999.48610911],[999.48610084],[999.48609257],[999.48608429],[999.48607602],[999.48606774],[999.48605947]
[999.2812014],[999.28099647],[999.28099281],[999.28098916],[999.28098551],[999.28098185],[999.2809782],[999.28097454],[999.28097089],[999.28096724],[999.28096358],[999.28095993],[999.28095627],[999.28095262],[999.28094897],[999.28094531],[999.28094166],[999.28093801],[999.28093435],[999.2809307],[999.28092704],[999.28092339],[999.28091974],[999.28091608],[999.28091243],[999.28090877],[999.28090512],[999.28090147],[999.28089781],[999.28089416],[999.28089051],[999.28088685],[999.2808832],[999.28087954],[999.28087589],[999.28087224],[999.28086858],[999.28086493],[999.28086127],[999.28085762],[999.28085397],[999.28085031],[999.28084666],[999.280843],[999.28083935],[999.2808357],[999.28083204],[999.28082839],[999.28082474],[999.28082108],[999.28081743],[999.28081377],[999.28081012],[999.28080647],[999.28080281],[999.28079916],[999.2807955],[999.28079185],[999.2807882],[999.28078454]
