Step_1,Step_2,Step_3,Step_4,Step_5,Step_6
[0.00970789],[0.00971647],[0.00972506],[0.00973365],[0.00974225],[0.00975086]
[0.00977497],[0.00975865],[0.00974236],[0.00972609],[0.00970985],[0.00969363]
[0.00961103],[0.00960604],[0.00960105],[0.00959607],[0.00959109],[0.00958611]
[0.00955101],[0.00953944],[0.00952788],[0.00951633],[0.0095048],[0.00949328]
[0.00944439],[0.00944879],[0.0094532],[0.00945761],[0.00946202],[0.00946643]
[0.00948711],[0.00948691],[0.0094867],[0.0094865],[0.00948629],[0.00948609]
[0.00948382],[0.00948249],[0.00948117],[0.00947984],[0.00947852],[0.0094772]
[0.00945795],[0.00944506],[0.00943219],[0.00941933],[0.00940649],[0.00939366]
[0.00934159],[0.00935082],[0.00936006],[0.00936931],[0.00937857],[0.00938784]
[0.00943617],[0.00944039],[0.00944461],[0.00944884],[0.00945306],[0.00945729]
[0.00946826],[0.0094592],[0.00945015],[0.00944111],[0.00943207],[0.00942305]
[0.00937477],[0.00936952],[0.00936426],[0.00935901],[0.00935377],[0.00934852]
[0.00933787],[0.00935224],[0.00936663],[0.00938105],[0.00939548],[0.00940994]
[0.00947628],[0.00947335],[0.00947042],[0.00946749],[0.00946456],[0.00946163]
[0.0094517],[0.00945551],[0.00945933],[0.00946314],[0.00946696],[0.00947078]
[0.009493],[0.00949717],[0.00950134],[0.00950552],[0.0095097],[0.00951388]
[0.00952924],[0.00952573],[0.00952221],[0.00951869],[0.00951518],[0.00951167]
[0.0095076],[0.00952034],[0.0095331],[0.00954587],[0.00955867],[0.00957148]
[0.00963955],[0.00964597],[0.0096524],[0.00965884],[0.00966528],[0.00967172]
[0.00970197],[0.00970167],[0.00970137],[0.00970107],[0.00970077],[0.00970047]
[0.00970616],[0.00971326],[0.00972038],[0.00972749],[0.00973462],[0.00974175]
[0.00977093],[0.00976781],[0.00976468],[0.00976155],[0.00975843],[0.0097553]
[0.00974616],[0.00975196],[0.00975776],[0.00976357],[0.00976938],[0.0097752]
[0.00980292],[0.00980262],[0.00980233],[0.00980203],[0.00980174],[0.00980144]
[0.00980964],[0.00981928],[0.00982893],[0.00983858],[0.00984825],[0.00985793]
[0.0098952],[0.00988554],[0.00987588],[0.00986623],[0.00985659],[0.00984696]
[0.00980867],[0.00981653],[0.0098244],[0.00983228],[0.00984016],[0.00984805]
[0.00988162],[0.00987727],[0.00987291],[0.00986856],[0.00986421],[0.00985986]
[0.00982098],[0.00980295],[0.00978495],[0.00976698],[0.00974904],[0.00973114]
[0.00966209],[0.00967803],[0.009694],[0.00970999],[0.00972601],[0.00974206]
[0.00982153],[0.00982627],[0.00983101],[0.00983574],[0.00984049],[0.00984523]
[0.00985668],[0.00984747],[0.00983826],[0.00982907],[0.00981989],[0.00981071]
[0.00978279],[0.00979677],[0.00981076],[0.00982477],[0.0098388],[0.00985285]
[0.0099206],[0.00993101],[0.00994144],[0.00995188],[0.00996233],[0.00997279]
[0.01000565],[0.00999134],[0.00997706],[0.0099628],[0.00994855],[0.00993433]
[0.00986794],[0.00986496],[0.00986198],[0.00985899],[0.00985601],[0.00985303]
[0.00983147],[0.0098226],[0.00981373],[0.00980488],[0.00979603],[0.00978719]
[0.00974562],[0.00974095],[0.00973628],[0.00973161],[0.00972695],[0.00972229]
[0.00968711],[0.00967286],[0.00965863],[0.00964443],[0.00963024],[0.00961608]
[0.00954986],[0.00954709],[0.00954432],[0.00954154],[0.00953877],[0.00953601]
[0.00950478],[0.00948595],[0.00946715],[0.00944839],[0.00942967],[0.00941098]
[0.00933154],[0.00933509],[0.00933863],[0.00934218],[0.00934573],[0.00934928]
[0.00936337],[0.00936282],[0.00936226],[0.00936171],[0.00936115],[0.00936059]
[0.00937734],[0.00939657],[0.00941583],[0.00943514],[0.00945449],[0.00947388]
[0.00955076],[0.00954217],[0.0095336],[0.00952503],[0.00951647],[0.00950791]
[0.00947918],[0.00948681],[0.00949445],[0.0095021],[0.00950976],[0.00951742]
[0.00955158],[0.0095529],[0.00955422],[0.00955554],[0.00955686],[0.00955818]
[0.00956444],[0.00956504],[0.00956564],[0.00956624],[0.00956684],[0.00956744]
[0.00954869],[0.0095274],[0.00950615],[0.00948495],[0.0094638],[0.0094427]
[0.00936229],[0.00937225],[0.00938223],[0.00939221],[0.0094022],[0.00941221]
[0.00946256],[0.0094708],[0.00947904],[0.00948729],[0.00949554],[0.0095038]
[0.00954446],[0.00955045],[0.00955644],[0.00956244],[0.00956843],[0.00957444]
[0.00960956],[0.00961951],[0.00962948],[0.00963945],[0.00964944],[0.00965943]
[0.00972018],[0.00973894],[0.00975773],[0.00977656],[0.00979543],[0.00981433]
[0.00991365],[0.00993397],[0.00995434],[0.00997475],[0.0099952],[0.01001569]
[0.01010254],[0.01010597],[0.0101094],[0.01011284],[0.01011627],[0.01011971]
[0.01014268],[0.01015197],[0.01016128],[0.0101706],[0.01017992],[0.01018925]
[0.01023603],[0.01024536],[0.0102547],[0.01026405],[0.01027341],[0.01028277]
[0.01031939],[0.01031838],[0.01031737],[0.01031636],[0.01031535],[0.01031434]
[0.01030988],[0.01030947],[0.01030907],[0.01030866],[0.01030826],[0.01030785]
[0.01032724],[0.01034831],[0.01036943],[0.01039058],[0.01041178],[0.01043303]
[0.01050476],[0.01049538],[0.01048601],[0.01047666],[0.0104673],[0.01045796]
[0.01039999],[0.01037902],[0.01035809],[0.0103372],[0.01031636],[0.01029556]
[0.01022895],[0.01024453],[0.01026012],[0.01027574],[0.01029139],[0.01030706]
[0.01036411],[0.01035987],[0.01035564],[0.0103514],[0.01034717],[0.01034293]
[0.01033002],[0.01033349],[0.01033696],[0.01034043],[0.0103439],[0.01034737]
[0.01037421],[0.0103875],[0.01040081],[0.01041414],[0.01042748],[0.01044084]
[0.01049301],[0.01049259],[0.01049218],[0.01049176],[0.01049135],[0.01049093]
[0.01049735],[0.0105054],[0.01051346],[0.01052152],[0.01052959],[0.01053767]
[0.0105502],[0.01053081],[0.01051145],[0.01049213],[0.01047284],[0.01045359]
[0.01037684],[0.01037052],[0.0103642],[0.01035788],[0.01035157],[0.01034526]
[0.01031376],[0.01030682],[0.01029988],[0.01029294],[0.01028601],[0.01027908]
[0.01024051],[0.01022908],[0.01021767],[0.01020627],[0.01019488],[0.0101835]
[0.01014488],[0.01015091],[0.01015695],[0.01016299],[0.01016903],[0.01017508]
[0.01020107],[0.01020322],[0.01020537],[0.01020753],[0.01020968],[0.01021184]
[0.01022183],[0.01022332],[0.01022481],[0.0102263],[0.01022778],[0.01022927]
[0.01022937],[0.01022364],[0.01021791],[0.01021219],[0.01020646],[0.01020075]
[0.01018955],[0.01020134],[0.01021314],[0.01022496],[0.01023679],[0.01024863]
[0.01029547],[0.01029441],[0.01029335],[0.01029229],[0.01029123],[0.01029017]
[0.01028358],[0.01028124],[0.01027891],[0.01027658],[0.01027425],[0.01027192]
[0.01025251],[0.01024258],[0.01023266],[0.01022275],[0.01021285],[0.01020296]
[0.01015276],[0.01014294],[0.01013313],[0.01012333],[0.01011354],[0.01010376]
[0.01007891],[0.01009417],[0.01010945],[0.01012476],[0.01014008],[0.01015543]
[0.0102296],[0.01024069],[0.01025179],[0.01026291],[0.01027404],[0.01028518]
[0.01034264],[0.01035484],[0.01036705],[0.01037927],[0.01039151],[0.01040376]
[0.0104394],[0.01042539],[0.0104114],[0.01039743],[0.01038347],[0.01036954]
[0.01033566],[0.01035068],[0.01036573],[0.01038079],[0.01039588],[0.01041099]
[0.01046096],[0.01045036],[0.01043976],[0.01042918],[0.01041861],[0.01040805]
[0.01035905],[0.01035179],[0.01034453],[0.01033728],[0.01033004],[0.0103228]
[0.01029976],[0.01030272],[0.01030569],[0.01030865],[0.01031161],[0.01031458]
[0.0103076],[0.01028884],[0.01027012],[0.01025143],[0.01023278],[0.01021416]
