Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
[0.00970789],[0.00971647],[0.00972506],[0.00973365],[0.00974225],[0.00975086],[0.00975948],[0.0097681],[0.00977673],[0.00978537],[0.00979402],[0.00980267],[0.00981134],[0.00982001],[0.00982868],[0.00983737],[0.00984606],[0.00985476],[0.00986347],[0.00987219],[0.00988091],[0.00988964],[0.00989838],[0.00990713],[0.00991588],[0.00992464],[0.00993341],[0.00994219],[0.00995098],[0.00995977],[0.00996857],[0.00997738],[0.0099862],[0.00999502],[0.01000385],[0.01001269],[0.01002154],[0.0100304],[0.01003926],[0.01004813],[0.01005701],[0.0100659],[0.01007479],[0.0100837],[0.01009261],[0.01010153],[0.01011045],[0.01011939],[0.01012833],[0.01013728],[0.01014624],[0.0101552],[0.01016418],[0.01017316],[0.01018215],[0.01019115],[0.01020015],[0.01020916],[0.01021819],[0.01022722]
[0.00977497],[0.00975865],[0.00974236],[0.00972609],[0.00970985],[0.00969363],[0.00967744],[0.00966128],[0.00964515],[0.00962904],[0.00961297],[0.00959691],[0.00958089],[0.00956489],[0.00954892],[0.00953297],[0.00951705],[0.00950116],[0.00948529],[0.00946945],[0.00945364],[0.00943785],[0.00942209],[0.00940636],[0.00939065],[0.00937497],[0.00935932],[0.00934369],[0.00932808],[0.00931251],[0.00929696],[0.00928143],[0.00926593],[0.00925046],[0.00923501],[0.00921959],[0.0092042],[0.00918883],[0.00917348],[0.00915816],[0.00914287],[0.0091276],[0.00911236],[0.00909714],[0.00908195],[0.00906679],[0.00905165],[0.00903653],[0.00902144],[0.00900638],[0.00899134],[0.00897632],[0.00896133],[0.00894637],[0.00893143],[0.00891652],[0.00890163],[0.00888676],[0.00887192],[0.00885711]
[0.00961103],[0.00960604],[0.00960105],[0.00959607],[0.00959109],[0.00958611],[0.00958113],[0.00957616],[0.00957119],[0.00956622],[0.00956126],[0.00955629],[0.00955133],[0.00954638],[0.00954142],[0.00953647],[0.00953152],[0.00952657],[0.00952163],[0.00951668],[0.00951175],[0.00950681],[0.00950187],[0.00949694],[0.00949201],[0.00948709],[0.00948216],[0.00947724],[0.00947232],[0.0094674],[0.00946249],[0.00945758],[0.00945267],[0.00944776],[0.00944286],[0.00943796],[0.00943306],[0.00942816],[0.00942327],[0.00941838],[0.00941349],[0.0094086],[0.00940372],[0.00939884],[0.00939396],[0.00938908],[0.00938421],[0.00937934],[0.00937447],[0.0093696],[0.00936474],[0.00935988],[0.00935502],[0.00935017],[0.00934531],[0.00934046],[0.00933561],[0.00933077],[0.00932593],[0.00932108]
[0.00955101],[0.00953944],[0.00952788],[0.00951633],[0.0095048],[0.00949328],[0.00948178],[0.00947029],[0.00945881],[0.00944735],[0.0094359],[0.00942447],[0.00941305],[0.00940164],[0.00939025],[0.00937887],[0.0093675],[0.00935615],[0.00934481],[0.00933349],[0.00932218],[0.00931088],[0.0092996],[0.00928833],[0.00927708],[0.00926583],[0.00925461],[0.00924339],[0.00923219],[0.009221],[0.00920983],[0.00919867],[0.00918752],[0.00917639],[0.00916527],[0.00915416],[0.00914307],[0.00913199],[0.00912092],[0.00910987],[0.00909883],[0.0090878],[0.00907679],[0.00906579],[0.00905481],[0.00904383],[0.00903287],[0.00902193],[0.00901099],[0.00900007],[0.00898917],[0.00897828],[0.0089674],[0.00895653],[0.00894568],[0.00893483],[0.00892401],[0.00891319],[0.00890239],[0.0088916]
[0.00944439],[0.00944879],[0.0094532],[0.00945761],[0.00946202],[0.00946643],[0.00947084],[0.00947526],[0.00947968],[0.0094841],[0.00948852],[0.00949295],[0.00949737],[0.0095018],[0.00950623],[0.00951067],[0.0095151],[0.00951954],[0.00952398],[0.00952842],[0.00953286],[0.00953731],[0.00954176],[0.00954621],[0.00955066],[0.00955511],[0.00955957],[0.00956403],[0.00956849],[0.00957295],[0.00957741],[0.00958188],[0.00958635],[0.00959082],[0.00959529],[0.00959977],[0.00960424],[0.00960872],[0.0096132],[0.00961769],[0.00962217],[0.00962666],[0.00963115],[0.00963564],[0.00964013],[0.00964463],[0.00964913],[0.00965363],[0.00965813],[0.00966263],[0.00966714],[0.00967165],[0.00967616],[0.00968067],[0.00968519],[0.0096897],[0.00969422],[0.00969874],[0.00970326],[0.00970779]
[0.00948711],[0.00948691],[0.0094867],[0.0094865],[0.00948629],[0.00948609],[0.00948588],[0.00948568],[0.00948547],[0.00948526],[0.00948506],[0.00948485],[0.00948465],[0.00948444],[0.00948424],[0.00948403],[0.00948382],[0.00948362],[0.00948341],[0.00948321],[0.009483],[0.0094828],[0.00948259],[0.00948239],[0.00948218],[0.00948197],[0.00948177],[0.00948156],[0.00948136],[0.00948115],[0.00948095],[0.00948074],[0.00948054],[0.00948033],[0.00948012],[0.00947992],[0.00947971],[0.00947951],[0.0094793],[0.0094791],[0.00947889],[0.00947869],[0.00947848],[0.00947828],[0.00947807],[0.00947786],[0.00947766],[0.00947745],[0.00947725],[0.00947704],[0.00947684],[0.00947663],[0.00947643],[0.00947622],[0.00947602],[0.00947581],[0.0094756],[0.0094754],[0.00947519],[0.00947499]
[0.00948382],[0.00948249],[0.00948117],[0.00947984],[0.00947852],[0.0094772],[0.00947587],[0.00947455],[0.00947323],[0.00947191],[0.00947058],[0.00946926],[0.00946794],[0.00946662],[0.00946529],[0.00946397],[0.00946265],[0.00946133],[0.00946001],[0.00945869],[0.00945737],[0.00945605],[0.00945473],[0.00945341],[0.00945209],[0.00945077],[0.00944945],[0.00944813],[0.00944681],[0.00944549],[0.00944417],[0.00944285],[0.00944153],[0.00944022],[0.0094389],[0.00943758],[0.00943626],[0.00943494],[0.00943363],[0.00943231],[0.00943099],[0.00942968],[0.00942836],[0.00942704],[0.00942573],[0.00942441],[0.0094231],[0.00942178],[0.00942046],[0.00941915],[0.00941783],[0.00941652],[0.0094152],[0.00941389],[0.00941257],[0.00941126],[0.00940995],[0.00940863],[0.00940732],[0.00940601]
[0.00945795],[0.00944506],[0.00943219],[0.00941933],[0.00940649],[0.00939366],[0.00938086],[0.00936807],[0.0093553],[0.00934254],[0.00932981],[0.00931709],[0.00930439],[0.0092917],[0.00927904],[0.00926639],[0.00925375],[0.00924114],[0.00922854],[0.00921596],[0.0092034],[0.00919085],[0.00917832],[0.00916581],[0.00915331],[0.00914084],[0.00912837],[0.00911593],[0.0091035],[0.00909109],[0.0090787],[0.00906632],[0.00905396],[0.00904162],[0.00902929],[0.00901699],[0.00900469],[0.00899242],[0.00898016],[0.00896792],[0.00895569],[0.00894348],[0.00893129],[0.00891911],[0.00890696],[0.00889481],[0.00888269],[0.00887058],[0.00885849],[0.00884641],[0.00883435],[0.00882231],[0.00881028],[0.00879827],[0.00878627],[0.0087743],[0.00876234],[0.00875039],[0.00873846],[0.00872655]
[0.00934159],[0.00935082],[0.00936006],[0.00936931],[0.00937857],[0.00938784],[0.00939712],[0.00940641],[0.00941571],[0.00942501],[0.00943433],[0.00944366],[0.00945299],[0.00946233],[0.00947169],[0.00948105],[0.00949042],[0.0094998],[0.00950919],[0.00951859],[0.009528],[0.00953741],[0.00954684],[0.00955628],[0.00956572],[0.00957518],[0.00958464],[0.00959411],[0.0096036],[0.00961309],[0.00962259],[0.0096321],[0.00964162],[0.00965115],[0.00966069],[0.00967024],[0.0096798],[0.00968937],[0.00969894],[0.00970853],[0.00971812],[0.00972773],[0.00973735],[0.00974697],[0.0097566],[0.00976625],[0.0097759],[0.00978556],[0.00979523],[0.00980492],[0.00981461],[0.00982431],[0.00983402],[0.00984374],[0.00985347],[0.00986321],[0.00987296],[0.00988271],[0.00989248],[0.00990226]
[0.00943617],[0.00944039],[0.00944461],[0.00944884],[0.00945306],[0.00945729],[0.00946152],[0.00946575],[0.00946998],[0.00947421],[0.00947845],[0.00948269],[0.00948693],[0.00949117],[0.00949541],[0.00949966],[0.0095039],[0.00950815],[0.00951241],[0.00951666],[0.00952091],[0.00952517],[0.00952943],[0.00953369],[0.00953795],[0.00954222],[0.00954648],[0.00955075],[0.00955502],[0.00955929],[0.00956357],[0.00956785],[0.00957212],[0.0095764],[0.00958068],[0.00958497],[0.00958925],[0.00959354],[0.00959783],[0.00960212],[0.00960642],[0.00961071],[0.00961501],[0.00961931],[0.00962361],[0.00962791],[0.00963222],[0.00963652],[0.00964083],[0.00964514],[0.00964945],[0.00965377],[0.00965808],[0.0096624],[0.00966672],[0.00967105],[0.00967537],[0.0096797],[0.00968402],[0.00968835]
