Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60
105002345.44422707,105398642.70228858,105796435.6591027,106195729.95627947,106596531.26014097,106998845.25839463,107402677.66021432,107808034.19632131,108214920.61906561,108623342.70250763,109033306.24250008,109444817.05677025,109857880.98500255,110272503.88892135,110688691.65237424,111106450.18141547,111525785.40438975,111946703.27201644,112369209.75747393,112793310.85648444,113219012.58739911,113646320.99128336,114075242.13200268,114505782.09630865,114937946.9939253,115371742.95763585,115807176.14336969,116244252.7302898,116682978.92088039,117123360.94103493,117565405.0401445,118009117.4911865,118454504.59081362,118901572.65944323,119350328.04134707,119800777.10474128,120252926.24187672,120706781.86912979,121162350.42709337,121619638.3806683,122078652.21915506,122539398.45634592,123001883.6306173,123466114.30502266,123932097.0673855,124399838.53039297,124869345.33168967,125340624.13397181,125813681.62508178,126288524.51810308,126765159.55145554,127243593.48899099,127723833.12008922,128205885.2597543,128689756.74871136,129175454.45350361,129662985.26658979,130152356.106442,130643573.91764386,131136645.67098907
104999506.47933303,105392943.68446103,105787855.1173954,106184246.29873016,106582122.77314007,106981490.10607567,107382353.88384148,107784719.7136741,108188593.22382067,108593980.0636176,109000885.90356958,109409316.43542887,109819277.372275,110230774.44859456,110643813.42036155,111058400.06511779,111474540.18205379,111892239.59208983,112311504.13795742,112732339.684281,113154752.11766,113578747.34675115,114004331.30235116,114431509.93747965,114860289.22746243,115290675.1700151,115722673.78532694,116156291.1161451,116591533.22785914,117028406.20858586,117466916.16925447,117907069.24369209,118348871.58870949,118792329.38418728,119237448.83316232,119684236.16191447,120132697.62005371,120582839.48060755,121034668.04010879,121488189.61868355,121943410.56013973,122400337.23205574,122858976.0258695,123319333.35696796,123781415.66477671,124245229.41285016,124710781.08896188,125178077.20519541,125647124.2980353,126117928.92845854,126590497.6820264,127064837.16897647,127540954.02431516,128018854.90791053,128498546.50458537,128980035.52421081,129463328.70180011,129948432.79760286,130435354.59719962,130924100.91159673
104996874.0355179,105387659.38051307,105779899.18348677,106173598.85437961,106568763.82663931,106965399.55393592,107363511.51023734,107763105.18988492,108164186.10766925,108566759.79890631,108970831.81951383,109376407.74608795,109783493.17598027,110192093.72737497,110602215.03936647,111013862.77203716,111427042.60653558,111841760.2451548,112258021.4114111,112675831.850123,113095197.32749051,113516123.63117471,113938616.57037768,114362681.97592257,114788325.70033416,115215553.61791962,115644371.62484954,116074785.63923934,116506801.6012309,116940425.47307462,117375663.23921162,117812520.90635638,118251004.50357963,118691120.08239155,119132873.71682528,119576271.50352079,120021319.56180894,120468024.03379604,120916391.08444852,121366426.90167804,121818137.69642693,122271529.70275386,122726609.1779199,123183382.40247487,123641855.680344,124102035.33891499,124563927.72912526,125027539.22554964,125492876.22648832,125959945.1540552,126428752.45426646,126899304.5971296,127371608.07673264,127845669.4113338,128321495.14345147,128799091.83995447,129278466.09215267,129759624.51588802,130242573.75162579,130727320.46454623
104994365.65765983,105382624.24681582,105772318.58049092,106163453.96457401,106556035.7279247,106950069.21910791,107345559.80646698,107742512.87819687,108140933.8424175,108540828.12724751,108942201.18087818,109345058.47164764,109749405.48811537,110155247.73913701,110562590.75393939,110971440.08219586,111381801.29410192,111793679.98045106,112207081.75271098,112622012.24310003,113038477.10466392,113456482.01135276,113876032.65809837,114297134.76089182,114719794.05686139,115144016.30435063,115569807.2829969,115997172.79381005,116426118.65925153,116856650.7233136,117288774.85159907,117722496.93140112,118157822.87178357,118594758.60366136,119033310.07988134,119473483.27530341,119915284.18688188,120358718.83374724,120803793.25728804,121250513.52123335,121698885.71173525,122148915.93745182,122600610.32963035,123053975.04219083,123509016.2518099,123965740.15800482,124424152.98321813,124884260.97290231,125346070.39560488,125809587.54305384,126274818.73024334,126741770.29551975,127210448.60066804,127680860.03099838,128153010.99543318,128626907.92659442,129102557.28089125,129579965.53860798,130059139.20399235,130540084.80534416
104763680.45694883,104918398.33258975,105073344.76173267,105228520.02009952,105383924.44563398,105539558.37677652,105695422.15246746,105851516.11214767,106007840.59575932,106164395.94374658,106321182.49705645,106478200.59713942,106635450.58595024,106792932.80594869,106950647.6001003,107108595.31187707,107266776.2852583,107425190.86473122,107583839.3952919,107742722.22244582,107901839.69220875,108061192.15110749,108220779.94618057,108380603.42497903,108540662.93556722,108700958.82652348,108861491.44694097,109022261.14642838,109183268.2751107,109344513.18363006,109505996.22314635,109667717.74533811,109829678.10240322,109991877.64705972,110154316.73254655,110316995.71262431,110479914.94157605,110643074.77420804,110806475.56585053,110970117.67235853,111134001.4501126,111298127.25601959,111462495.44751348,111627106.38255608,111791960.41963786,111957057.91777872,112122399.23652877,112287984.73596913,112453814.77671266,112619889.71990481,112786209.92722438,112952775.76088431,113119587.58363245,113286645.75875239,113453950.65006419,113621502.62192523,113789302.039231,113957349.26741587,114125644.67245387,114294188.62085953
58923357.102225676,59009876.961417854,59096523.861691535,59183297.98957039,59270199.53186852,59357228.67567434,59444385.608350985,59531670.51753669,59619083.591145225,59706625.01736626,59794294.98466581,59882093.68178662,59970021.297748566,60058078.02184907,60146264.04366353,60234579.55304569,60323024.740128055,60411599.79532233,60500304.909319796,60589140.27309174,60678106.07788987,60767202.51524669,60856429.776975974,60945788.05517313,61035277.542215616,61124898.430763386,61214650.913759276,61304535.18442944,61394551.43628373,61484699.86311616,61574980.65900529,61665394.01831467,61755940.135693215,61846619.206075676,61937431.42468303,62028376.98702289,62119456.08888997,62210668.92636646,62302015.69582247,62393496.593916446,62485111.81759559,62576861.56409632,62668746.03094463,62760765.41595657,62852919.91723865,62945209.73318827,63037635.06249414,63130196.104136705,63222893.05738861,63315726.12181508,63408695.49727437,63501801.38391821,63595043.98219221,63688423.492836304,63781940.11688519,63875594.05566875,63969385.51081248,64063314.684237935,64157381.77816318,64251586.99510318
58922893.4602893,59008948.326049566,59095128.87200745,59181435.28169808,59267867.73894112,59354426.4278247,59441111.5327058,59527923.238210656,59614861.729235135,59701927.19094514,59789119.808777004,59876439.768437885,59963887.255906165,60051462.45743182,60139165.55953687,60226996.74901571,60314956.21293557,60403044.138636865,60491260.71373363,60579606.12611389,60668080.563940085,60756684.215649456,60845417.26995444,60934279.91584311,61023272.34257951,61112394.739704125,61201647.297034256,61291030.20466442,61380543.65296675,61470187.832591444,61559962.9344671,61649869.14980118,61739906.6700804,61830075.68707113,61920376.3928198,62010808.979653336,62101373.64017954,62192070.567287505,62282899.95414804,62373861.99421407,62464956.88122107,62556184.80918743,62647545.97241491,62739040.56548905,62830668.783279546,62922430.82094073,63014326.87391194,63106357.137917936,63198521.808969334,63290821.08336301,63383255.15768254,63475824.22879858,63568528.49386934,63661368.150340945,63754343.395947896,63847454.42871348,63940701.44695018,64034084.649260126,64127604.23453548,64221260.40195888
58917003.729247935,58997152.331639886,59077409.96536345,59157776.77872563,59238252.920250535,59318838.53866432,59399533.78289546,59480338.80207503,59561253.745536976,59642278.762818396,59723414.00365981,59804659.61800543,59886015.75600348,59967482.56800639,60049060.204571165,60130748.81645961,60212548.55463862,60294459.57028045,60376482.01476302,60458616.03967018,60540861.79679197,60623219.43812494,60705689.115872405,60788270.982444726,60870965.1904596,60953771.89274234,61036691.24232617,61119723.39245247,61202868.4965711,61286126.708340675,61369498.18162882,61452983.070512496,61536581.529278256,61620293.712422535,61704119.774651945,61788059.87088356,61872114.15624519,61956282.786075674,62040565.915925175,62124963.70155546,62209476.29894019,62294103.864265196,62378846.55392879,62463704.52454204,62548677.93292906,62633766.936127305,62718971.691387855,62804292.35617571,62889729.08817009,62975282.04526469,63060951.38556803,63146737.26740369,63232639.849310644,63318659.290043525,63404795.74857294,63491049.38408574,63577420.35598534,63663908.82389201,63750514.947643146,63837238.88729358
58922081.99764779,59007323.05297459,59092687.424352534,59178175.290163435,59263786.829063505,59349522.21996741,59435381.64204864,59521365.274739906,59607473.297733486,59693705.89098162,59780063.234696895,59866545.50935257,59953152.89568303,60039885.5746841,60126743.72761345,60213727.535990976,60300837.18159917,60388072.846483506,60475434.71295282,60562922.96357969,60650537.78120081,60738279.34891739,60826147.85009552,60914143.468366556,61002266.38762753,61090516.79204148,61178894.866037905,61267400.79431308,61356034.7618305,61444796.95382123,61533687.5557843,61622706.75348711,61711854.7329658,61801131.68052563,61890537.78274141,61980073.22645784,62069738.19878993,62159532.88712339,62249457.479115,62339512.162693046,62429697.126057655,62520012.55768123,62610458.64630885,62701035.58095861,62791743.550922096,62882582.7457647,62973553.35532607,63064655.56972049,63155889.57933728,63247255.57484117,63338753.74717276,63430384.28754884,63522147.38746285,63614043.23868524,63706072.03326392,63798233.9635246,63890529.222071245,63982958.00178643,64075520.4958318,64168216.89764842
58917914.836265326,58998977.02603526,59080150.7452024,59161436.14719889,59242833.38568352,59324342.61452647,59405963.987809636,59487697.65982689,59569543.78508441,59651502.51830094,59733574.0144081,59815758.42855066,59898055.91608686,59980466.632588685,60062990.73384216,60145628.375847645,60228379.71482015,60311244.907189585,60394224.10960112,60477317.478915416,60560525.172208965,60643847.34677437,60727284.160120636,60810835.76997349,60894502.334275655,60978284.01118717,61062180.95908567,61146193.3365667,61230321.302444,61314565.01574983,61398924.63573523,61483400.321870364,61567992.2338448,61652700.53156782,61737525.375168696,61822466.92499704,61907525.34162306,61992700.785837896,62077993.41865391,62163403.401305,62248930.89524687,62334576.0621574,62420339.0639369,62506220.062708415,62592219.220818065,62678336.70083533,62764572.66555336,62850927.27798928,62937400.701384515,63023993.09920506,63110704.63514185,63197535.473111,63284485.77725417,63371555.71193885,63458745.44175867,63546055.13153372,63633484.946310855,63721035.05136401,63808705.61219452,63896496.79453142
58921324.92440401,59005806.73624176,59090409.678714216,59175133.92548317,59259979.65047557,59344947.02786775,59430036.23208578,59515247.43780583,59600580.819954515,59686036.55370925,59771614.81449865,59857315.77800282,59943139.6201538,60029086.51713585,60115156.64538586,60201350.181593694,60287667.302702546,60374108.18590933,60460673.00866501,60547361.948674984,60634175.183899455,60721112.89255378,60808175.25310883,60895362.44429139,60982674.6450845,61070112.03472781,61157674.79271799,61245363.098809056,61333177.13301276,61421117.075598955,61509183.10709598,61597375.408291,61685694.1602304,61774139.54422015,61862711.74182618,61951410.93487474,62040237.30545281,62129191.03590841,62218272.30885104,62307481.307152025,62396818.21394488,62486283.212625705,62575876.486853555,62665598.22055081,62755448.59790358,62845427.80336203,62935536.02164081,63025773.43771942,63116140.23684257,63206636.6045206,63297262.7265298,63388018.788912855,63478904.97797919,63569921.48030536,63661068.48273544,63752346.1723814,63843754.736623496,63935294.36311065,64026965.23976082,64118767.55476143
58916840.78154335,58996827.91077739,59076923.632754,59157128.09489353,59237441.44482463,59317863.83037637,59398395.39957852,59479036.30066182,59559786.68205824,59640646.69240128,59721616.48052623,59802696.19547043,59883885.98647357,59965186.00297794,60046596.39462872,60128117.31127426,60209748.90296634,60291491.31996047,60373344.712716125,60455309.23189706,60537385.028371595,60619572.25321284,60701871.057699025,60784281.59331376,60866804.0117463,60949438.46489186,61032185.10485184,61115044.08393417,61198015.55465355,61281099.669731714,61364296.58209776,61447606.4448884,61531029.41144825,61614565.6353301,61698215.27029523,61781978.470313646,61865855.3895644,61949846.18243587,62033951.00352602,62118170.0076427,62202503.34980395,62286951.18523824,62371513.66938482,62456190.95789393,62540983.206627145,62625890.57165764,62710913.20927048,62796051.2759629,62881304.9284446,62966674.32363805,63052159.61867874,63137760.97091551,63223478.537910804,63309312.47744099,63395262.94749664,63481330.1062828,63567514.11221932,63653815.12394111,63740233.30029845,63826768.8003573
58771218.959063694,58705549.00212473,58639952.42367056,58574429.141713545,58508979.07435342,58443602.139781445,58378298.25628029,58313067.342223935,58247909.31607757,58182824.09639748,58117811.60183098,58052871.75111626,57988004.46308231,57923209.656648844,57858487.25082616,57793837.16471504,57729259.31750667,57664753.62848254,57600320.01701433,57535958.40256381,57471668.70468274,57407450.843012765,57343304.73728533,57279230.30732158,57215227.47303223,57151296.1544175,57087436.271566994,57023647.74465961,56959930.49396343,56896284.43983564,56832709.502722405,56769205.60315879,56705772.66176864,56642410.59926451,56579119.336447544,56515898.79420738,56452748.893522054,56389669.5554579,56326660.70116944,56263722.25189931,56200854.12897815,56138056.25382449,56075328.54794467,56012670.93293276,55950083.3304704,55887565.662326775,55825117.850358464,55762739.81650937,55700431.482810624,55638192.771380454,55576023.604424134,55513923.90423385,55451893.59318862,55389932.59375421,55328040.828483,55266218.22001392,55204464.69107234,55142780.16446997,55081164.563104786,55019617.809960894
58771478.16303087,58706066.82986743,58640728.29804222,58575462.48653319,58510269.31440424,58445148.7008094,58380100.56499264,58315124.82628782,58250221.4041186,58185390.21799829,58120631.187529795,58055944.2324055,57991329.27240716,57926786.227405824,57862315.01736172,57797915.56232416,57733587.78243142,57669331.5979107,57605146.929077946,57541033.696337804,57476991.820183516,57413021.22119681,57349121.82004779,57285293.537494875,57221536.294384666,57157850.01165186,57094234.610319145,57030690.01149713,56967216.13638421,56903812.90626648,56840480.24251766,56777218.06659896,56714026.30005901,56650904.86453377,56587853.681746386,56524872.67350715,56461961.76171336,56399120.86834926,56336349.9154859,56273648.82528109,56211017.51997925,56148455.92191137,56085963.95349485,56023541.53723346,55961188.595717214,55898905.05162229,55836690.827710904,55774545.84683127,55712470.03191744,55650463.30598925,55588525.592152216,55526656.81359743,55464856.893601485,55403125.75552634,55341463.32281927,55279869.51901274,55218344.267724335,55156887.49265664,55095499.11759716,55034179.06641824
58771718.46740227,58706546.90276257,58641447.60642986,58576420.498270474,58511465.49823543,58446582.526364505,58381771.50278616,58317032.34771741,58252364.98146375,58187769.32441905,58123245.297065444,58058792.819973245,57994411.81380085,57930102.19929463,57865863.897288844,57801696.82870555,57737600.91455448,57673576.07593295,57609622.23402579,57545739.31010523,57481927.225530766,57418185.90174914,57354515.26029418,57290915.222786725,57227385.71093453,57163926.64653217,57100537.95146094,57037219.54768877,56973971.35727009,56910793.3023458,56847685.30514311,56784647.28797549,56721679.17324254,56658780.88342992,56595952.34110925,56533193.46893801,56470504.18965942,56407884.42610239,56345334.10118142,56282853.137896456,56220441.45933285,56158098.988661245,56095825.64913746,56033621.36410244,55971486.056982115,55909419.65128735,55847422.07061381,55785493.23864189,55723633.07913661,55661841.51594754,55600118.47300869,55538463.8743384,55476877.64403929,55415359.70629813,55353909.98538575,55292528.40565698,55231214.89155051,55169969.36758883,55108791.758378126,55047681.98860818
58771937.68046665,58706984.84178677,58642103.78687266,58577294.4363954,58512556.711109556,58447890.531857304,58383295.819568284,58318772.49525952,58254320.48003535,58189939.69508727,58125630.0616939,58061391.501220845,57997223.93512062,57933127.28493255,57869101.47228266,57805146.41888362,57741262.04653459,57677448.277121164,57613705.032615274,57550032.23507508,57486429.80664488,57422897.669555016,57359435.74612178,57296043.95874731,57232722.22991952,57169470.48221198,57106288.63828381,57043176.620879635,56980134.35282944,56917161.75704851,56854258.7565373,56791425.27438139,56728661.23375134,56665966.557902634,56603341.17017556,56540784.99399514,56478297.95287101,56415879.97039736,56353530.970252804,56291250.87620031,56229039.6120871,56166897.10184456,56104823.26948814,56042818.03911728,55980881.33491527,55919013.08114923,55857213.20216995,55795481.62241183,55733818.266392805,55672223.058714196,55610695.92406067,55549236.78720014,55487845.57298364,55426522.20634526,55365266.61230207,55304078.715954,55242958.442483746,55181905.7171567,55120920.46532085,55060002.61240667
